country,Code,Year,cereals,roots_tubers,vegetables,fruits,milk_equivalents,red_meat,poultry,eggs,seafood,legumes,nuts,oils,sugar
North Korea,PRK,2017,484.3013699,168.5753425,345.8082192,165.7260274,8.493150685,16.43835616,4.438356164,12.60273973,31.23287671,29.69863014,1.150684932,21.04109589,9.342465753
North Macedonia,MKD,2017,358.6575342,178.4109589,705.8630137,246.8767123,427.0958904,45.97260274,54.05479452,13.80821918,17.01369863,13.80821918,8.712328767,64.46575342,100.4657534
Norway,NOR,2017,306.1917808,143.9178082,200.4383562,219.2328767,692.6575342,130.6027397,52.19178082,31.7260274,140.6849315,16.4109589,5.068493151,75.89041096,74.60273973
Oman,OMN,2017,376.6027397,66.05479452,423.5342466,380.630137,296.6027397,52.82191781,59.26027397,22.32876712,78.19178082,10.79452055,2.02739726,29.42465753,63.80821918
Pakistan,PAK,2017,376.3561644,46.84931507,57.06849315,62.02739726,505.6712329,29.91780822,16.05479452,9.205479452,4.712328767,18,2.191780822,11.28767123,65.12328767
Panama,PAN,2017,510.109589,49.20547945,69.67123288,238.8493151,191.4520548,83.34246575,92.65753425,16.46575342,35.94520548,14.76712329,1.287671233,36.16438356,83.06849315
Paraguay,PRY,2017,277.0684932,458.9863014,135.9452055,199.7534247,194.9041096,131.5616438,16.4109589,33.09589041,11.42465753,22.65753425,0.054794521,47.34246575,75.39726027
Peru,PER,2017,450.4383562,335.2328767,183.1780822,327.0684932,155.2876712,26.98630137,36.90410959,24.52054795,68.60273973,24.2739726,0.876712329,20.52054795,60.52054795
Philippines,PHL,2017,630.7671233,90.52054795,171.3972603,268.8767123,3.287671233,63.17808219,38,11.09589041,77.09589041,3.479452055,5.780821918,22.63013699,49.75342466
Poland,POL,2017,396,278.739726,344,150.7123288,488.739726,159.6986301,83.01369863,18.54794521,29.28767123,5.506849315,2.383561644,69.15068493,122.9863014
Portugal,PRT,2017,359.3424658,177.2054795,418.5753425,371.5616438,592.9863014,170.0547945,83.78082192,23.12328767,155.7260274,9.232876712,13.23287671,64.60273973,66.30136986
Romania,ROU,2017,461.6438356,270.5753425,537.5890411,241.7808219,654.5753425,121.1232877,53.06849315,39.31506849,16.32876712,6,6.273972603,61.8630137,70.49315068
Russia,RUS,2017,402.4931507,307.1780822,309.6986301,153.6986301,453.2876712,113.8630137,84.87671233,43.89041096,54.98630137,6.931506849,0.575342466,54.19178082,112.5479452
Rwanda,RWA,2017,140.6575342,812.6849315,108.109589,625.3150685,53.75342466,16.08219178,4.082191781,1.068493151,20.98630137,99.53424658,0,9.123287671,16.52054795
Saint Kitts and Nevis,KNA,2017,182.4657534,78.46575342,121.6438356,218.0547945,54.76712329,62.52054795,152.7945205,11.17808219,98.76712329,15.67123288,1.945205479,45.04109589,84.68493151
Saint Lucia,LCA,2017,219.7260274,80.54794521,125.4794521,181.2054795,88.02739726,93.67123288,155.3150685,10.1369863,93.42465753,17.26027397,1.753424658,19.36986301,110.9041096
Saint Vincent and the Grenadines,VCT,2017,324.9863014,157.6712329,185.2054795,377.5068493,81.45205479,51.15068493,198.109589,12.30136986,49.69863014,23.26027397,1.287671233,26.84931507,115.6438356
Samoa,WSM,2017,167.9178082,351.3972603,53.23287671,492.5205479,89.7260274,87.31506849,177.4520548,6,126.9041096,0,0.493150685,33.69863014,66.1369863
Sao Tome and Principe,STP,2017,248.4109589,125.0684932,28.84931507,615.1232877,17.34246575,14.60273973,25.94520548,1.890410959,77.53424658,10.46575342,0.082191781,27.01369863,36.87671233
Saudi Arabia,SAU,2017,488.8219178,43.53424658,170.7123288,210.7945205,175.4246575,24.98630137,118.7945205,17.97260274,31.04109589,14.2739726,3.397260274,64.49315068,81.31506849
Senegal,SEN,2017,623.9726027,63.01369863,190.0547945,56.46575342,30.08219178,23.8630137,13.04109589,4.520547945,49.56164384,11.34246575,2.520547945,47.36986301,44.49315068
Serbia,SRB,2017,397.9452055,103.890411,301.8356164,243.9178082,474.3013699,118.1917808,27.83561644,25.80821918,16.93150685,7.369863014,5.178082192,29.26027397,80.73972603
Sierra Leone,SLE,2017,573.5616438,357.4246575,130.9863014,92.4109589,62.46575342,7.534246575,10.87671233,3.863013699,72.05479452,25.64383562,2.876712329,36.90410959,13.56164384
Slovakia,SVK,2017,203.8082192,138.8767123,172.0273973,133.7808219,432.6849315,119.260274,38.08219178,35.42465753,26.57534247,3.671232877,4.219178082,105.3972603,17.5890411
Slovenia,SVN,2017,384,134.9863014,251.5890411,323.7534247,616.4931507,141.4794521,66.87671233,27.04109589,32.76712329,5.561643836,9.917808219,80.4109589,49.75342466
Solomon Islands,SLB,2017,326.2191781,876.7123288,40.57534247,118.5753425,15.83561644,19.94520548,12.19178082,2.98630137,82.57534247,26.63013699,1.287671233,15.78082192,21.56164384
South Africa,ZAF,2017,521.4794521,86.90410959,114.739726,59.01369863,146.8219178,64.76712329,97.78082192,18.10958904,16.35616438,4.712328767,0.328767123,37.56164384,90.57534247
South Korea,KOR,2017,513.5342466,42.90410959,540.0821918,161.9726027,49.89041096,147.6438356,45.75342466,28.08219178,150.6027397,3.150684932,7.287671233,62.24657534,58.95890411
Spain,ESP,2017,311.0958904,159.1506849,401.4794521,248.3287671,493.2054795,187.1232877,83.26027397,37.61643836,116.3561644,13.69863014,22.02739726,89.80821918,87.45205479
Sri Lanka,LKA,2017,582,55.42465753,136.5205479,115.2876712,30.65753425,3.424657534,21.31506849,11.69863014,84.49315068,26.90410959,3.780821918,7.315068493,74.52054795
Sudan,SDN,2017,358.2465753,53.15068493,231.4794521,196.6575342,288.7123288,44.35616438,4.383561644,3.260273973,2.821917808,29.47945205,0,28.63013699,84.21917808
Suriname,SUR,2017,444.4931507,78.24657534,171.1506849,276.8493151,34.38356164,30.52054795,85.09589041,17.23287671,45.7260274,5.479452055,0.493150685,43.94520548,110.9589041
Sweden,SWE,2017,315.2054795,144.2739726,234.7123288,180.2191781,833.2054795,161.4520548,45.47945205,36.98630137,89.89041096,4.767123288,5.068493151,73.34246575,87.50684932
